CHILD,DOB,PREV_PERM,LA_PERM,DATE_PERM
640353,19/02/2004,Z1,,
62551,18/03/2005,Z1,,
185992,29/07/2009,Z1,,
225242,27/11/2005,Z1,,
158853,11/04/2008,Z1,,
295982,21/02/2009,Z1,,
53693,28/12/2007,Z1,,
168196,12/10/2009,Z1,,
637234,07/08/2006,Z1,,
406894,15/08/2002,Z1,,
721638,03/07/2009,Z1,,
525420,12/12/2009,Z1,,
711196,17/07/2005,Z1,,
515339,10/11/2005,Z1,,
289653,29/12/2001,Z1,,
457493,09/06/2007,Z1,,
447903,19/03/2007,Z1,,
230591,15/04/2009,Z1,,
92629,31/07/2006,Z1,,
626490,03/10/2009,Z1,,
718139,25/12/2008,Z1,,
623826,30/12/2003,Z1,,
934454,07/06/2001,Z1,,
955207,22/10/2008,Z1,,
521749,17/11/2005,Z1,,
158809,19/09/2006,Z1,,
374015,26/11/2008,Z1,,
420870,13/09/2005,Z1,,
748243,01/10/2007,Z1,,
686067,07/03/2007,Z1,,
227758,23/04/2003,Z1,,
184159,19/09/2007,Z1,,
545261,14/12/2006,Z1,,
814528,17/07/2004,Z1,,
830787,17/11/2003,Z1,,
243537,17/01/2006,Z1,,
439481,17/04/2007,Z1,,
259754,02/05/2007,Z1,,
700392,07/08/2008,Z1,,
260471,17/03/2002,Z1,,
725812,21/11/2006,Z1,,
904092,20/06/2005,Z1,,
735996,05/10/2007,Z1,,
814676,21/02/2002,Z1,,
424048,28/04/2004,Z1,,
502939,08/07/2005,Z1,,
955390,03/09/2005,Z1,,
536074,05/11/2008,Z1,,
731959,29/09/2007,Z1,,
370716,21/07/2009,Z1,,
279171,15/01/2008,Z1,,
99151,27/12/2005,Z1,,
87408,09/01/2005,Z1,,
204727,17/03/2006,Z1,,
604939,25/01/2005,Z1,,
96146,28/01/2009,Z1,,
294712,19/12/2009,Z1,,
562913,21/01/2002,Z1,,
862146,02/08/2006,Z1,,
2351,19/07/2003,Z1,,
274248,12/06/2005,Z1,,
340899,10/05/2001,Z1,,
442009,17/02/2004,Z1,,
557029,04/01/2007,Z1,,
479556,15/04/2006,Z1,,
956819,15/11/2002,Z1,,
506970,18/12/2009,Z1,,
745426,03/10/2007,Z1,,
230147,15/06/2005,Z1,,
462241,09/07/2003,Z1,,
737153,31/05/2003,Z1,,
464233,31/03/2005,Z1,,
994928,01/02/2005,Z1,,
694959,11/09/2008,Z1,,
248635,30/10/2001,Z1,,
842080,14/05/2007,Z1,,
386356,23/08/2008,Z1,,
428775,18/03/2005,Z1,,
291083,10/08/2006,Z1,,
673034,12/02/2008,Z1,,
814038,09/01/2007,Z1,,
422444,30/11/2001,Z1,,
318887,07/09/2002,Z1,,
5955,19/08/2009,Z1,,
781863,02/04/2002,Z1,,
99273,03/07/2005,Z1,,
775675,02/04/2006,Z1,,
610489,24/05/2006,Z1,,
719836,30/07/2005,Z1,,
991189,20/05/2006,Z1,,
472130,04/02/2004,Z1,,
210846,09/11/2007,Z1,,
187276,02/09/2006,Z1,,
690022,13/05/2002,Z1,,
70974,22/12/2008,Z1,,
489455,31/08/2008,Z1,,
359195,09/02/2009,Z1,,
418846,26/08/2009,Z1,,
893365,06/09/2003,Z1,,
831429,26/12/2009,Z1,,
57648,02/09/2008,Z1,,
679089,23/07/2001,Z1,,
257705,06/03/2007,Z1,,
411707,28/10/2008,Z1,,
414521,14/10/2009,Z1,,
777424,05/11/2005,Z1,,
388154,11/06/2008,Z1,,
227488,11/08/2004,Z1,,
279660,09/02/2009,Z1,,
481088,28/02/2006,Z1,,
629831,04/10/2007,Z1,,
766270,09/02/2002,Z1,,
800491,05/07/2008,Z1,,
750487,11/06/2003,Z1,,
63975,09/12/2006,Z1,,
460752,14/11/2008,Z1,,
460574,24/12/2002,Z1,,
284120,25/05/2009,Z1,,
546042,12/06/2003,Z1,,
425538,23/08/2009,Z1,,
164592,03/10/2004,Z1,,
838434,12/07/2006,Z1,,
294875,01/03/2004,Z1,,
411555,28/04/2001,Z1,,
895808,26/01/2009,Z1,,
812096,04/06/2008,Z1,,
546571,04/05/2003,Z1,,
275069,21/02/2008,Z1,,
216649,22/04/2004,Z1,,
579001,23/10/2006,Z1,,
625998,06/07/2003,Z1,,
549349,14/05/2005,Z1,,
852739,22/02/2007,Z1,,
149412,16/11/2007,Z1,,
