CHILD,DOB,PREV_PERM,LA_PERM,DATE_PERM
398768,17/12/1999,Z1,,
296227,23/06/2002,Z1,,
868699,12/04/1999,Z1,,
640353,19/02/2004,Z1,,
180638,28/06/1999,Z1,,
62551,18/03/2005,Z1,,
438762,15/08/2008,Z1,,
185992,29/07/2009,Z1,,
532130,24/07/2009,Z1,,
671161,09/04/2003,Z1,,
880317,27/10/2005,Z1,,
828936,27/09/2007,Z1,,
604967,06/04/2004,Z1,,
775405,04/05/1999,Z1,,
286807,24/01/2002,Z1,,
521525,13/06/2002,Z1,,
225242,27/11/2005,Z1,,
158853,11/04/2008,Z1,,
97679,02/09/2007,Z1,,
295982,21/02/2009,Z1,,
426648,16/10/2001,Z1,,
389248,02/02/2001,Z1,,
501350,10/04/2003,Z1,,
397815,27/04/2000,Z1,,
972102,18/06/1999,Z1,,
53693,28/12/2007,Z1,,
168196,12/10/2009,Z1,,
568347,04/10/2004,Z1,,
637234,07/08/2006,Z1,,
406894,15/08/2002,Z1,,
58470,28/05/2004,Z1,,
251367,25/11/2007,Z1,,
452400,20/09/2001,Z1,,
680750,19/02/2009,Z1,,
738595,20/07/2000,Z1,,
319688,05/12/2004,Z1,,
96860,17/11/2007,Z1,,
305719,18/01/2004,Z1,,
721638,03/07/2009,Z1,,
91,19/10/1999,Z1,,
257140,04/04/2002,Z1,,
987589,09/05/2009,Z1,,
525420,12/12/2009,Z1,,
911186,16/03/2009,Z1,,
711196,17/07/2005,Z1,,
533550,13/04/2000,Z1,,
370565,11/05/2009,Z1,,
863772,10/03/2006,Z1,,
515339,10/11/2005,Z1,,
733166,15/01/2005,Z1,,
569911,01/03/2000,Z1,,
289653,29/12/2001,Z1,,
944392,16/04/2005,Z1,,
457493,09/06/2007,Z1,,
59536,05/01/2001,Z1,,
447903,19/03/2007,Z1,,
230591,15/04/2009,Z1,,
92629,31/07/2006,Z1,,
52040,21/10/2004,Z1,,
626490,03/10/2009,Z1,,
718139,25/12/2008,Z1,,
297509,21/03/2007,Z1,,
623826,30/12/2003,Z1,,
934454,07/06/2001,Z1,,
955207,22/10/2008,Z1,,
521749,17/11/2005,Z1,,
158809,19/09/2006,Z1,,
344070,09/09/2007,Z1,,
207288,28/10/2007,Z1,,
161229,05/02/2000,Z1,,
420870,13/09/2005,Z1,,
115396,09/06/2001,Z1,,
748243,01/10/2007,Z1,,
686067,07/03/2007,Z1,,
913259,31/05/2008,Z1,,
933616,28/11/2007,Z1,,
600195,09/04/2005,Z1,,
306047,19/03/2004,Z1,,
391802,24/10/2005,Z1,,
227758,23/04/2003,Z1,,
276736,27/03/2002,Z1,,
184159,19/09/2007,Z1,,
355263,11/06/2004,Z1,,
545261,14/12/2006,Z1,,
814528,17/07/2004,Z1,,
911317,13/04/2002,Z1,,
410686,08/10/2009,Z1,,
853131,01/08/2003,Z1,,
830787,17/11/2003,Z1,,
243537,17/01/2006,Z1,,
453076,04/08/1999,Z1,,
461710,31/12/2007,Z1,,
300407,05/01/2009,Z1,,
769010,30/06/1999,Z1,,
439481,17/04/2007,Z1,,
679389,16/02/2001,Z1,,
80405,06/11/2008,Z1,,
259754,02/05/2007,Z1,,
451430,05/06/2002,Z1,,
92498,04/07/2007,Z1,,
536499,15/02/2002,Z1,,
248000,06/11/2001,Z1,,
376839,16/06/2004,Z1,,
585985,02/08/2002,Z1,,
458146,11/12/2000,Z1,,
115810,03/11/2008,Z1,,
700392,07/08/2008,Z1,,
336438,27/05/2003,Z1,,
260471,17/03/2002,Z1,,
300991,27/01/2001,Z1,,
631002,24/11/2000,Z1,,
531616,30/09/2001,Z1,,
221025,29/04/2004,Z1,,
725812,21/11/2006,Z1,,
904092,20/06/2005,Z1,,
