date,service,productivity,inputs,outputs
1997,Healthcare,100.0,100.0,100.0
1998,Healthcare,100.1,104.5,104.6
1999,Healthcare,100.9,107.4,108.4
2000,Healthcare,100.7,113.2,114.0
2001,Healthcare,104.0,117.2,121.9
2002,Healthcare,100.6,125.8,126.5
2003,Healthcare,101.5,132.9,134.9
2004,Healthcare,102.5,138.9,142.5
2005,Healthcare,103.0,146.7,151.1
2006,Healthcare,105.0,150.9,158.5
2007,Healthcare,105.2,156.9,165.0
2008,Healthcare,105.2,165.9,174.6
2009,Healthcare,102.6,178.3,182.9
2010,Healthcare,102.6,182.3,187.2
2011,Healthcare,104.4,184.1,192.2
2012,Healthcare,105.9,187.6,198.6
2013,Healthcare,108.4,189.1,205.1
2014,Healthcare,110.1,194.5,214.1
2015,Healthcare,109.8,201.9,221.6
2016,Healthcare,111.1,205.4,228.2
2017,Healthcare,112.6,207.7,233.9
2018,Healthcare,110.6,214.7,237.5
2019,Healthcare,113.2,214.3,242.7
2020,Healthcare,86.6,259.8,225.1
1997,Education,100.0,100.0,100.0
1998,Education,101.0,99.2,100.2
1999,Education,102.5,98.5,101.0
2000,Education,100.3,101.4,101.6
2001,Education,98.7,103.9,102.6
2002,Education,93.4,111.2,103.8
2003,Education,92.5,113.3,104.8
2004,Education,92.1,114.7,105.6
2005,Education,88.2,118.9,105.0
2006,Education,84.5,122.2,103.2
2007,Education,82.1,124.6,102.2
2008,Education,78.1,130.1,101.6
2009,Education,75.1,135.3,101.6
2010,Education,74.5,136.0,101.4
2011,Education,75.3,137.1,103.2
2012,Education,78.1,134.7,105.1
2013,Education,77.5,136.5,105.7
2014,Education,75.6,141.6,107.1
2015,Education,76.3,141.4,107.8
2016,Education,77.4,139.8,108.2
2017,Education,77.6,140.7,109.2
2018,Education,80.1,137.5,110.2
2019,Education,80.7,137.5,111.0
2020,Education,66.8,136.9,91.5
1997,Adult Social Care,101.3,100.0,101.3
1998,Adult Social Care,103.8,100.5,104.4
1999,Adult Social Care,100.2,104.3,104.6
2000,Adult Social Care,100.1,108.0,108.2
2001,Adult Social Care,101.4,108.9,110.5
2002,Adult Social Care,102.6,113.7,116.7
2003,Adult Social Care,102.5,125.2,128.3
2004,Adult Social Care,101.0,133.2,134.5
2005,Adult Social Care,99.2,137.5,136.4
2006,Adult Social Care,100.1,138.7,138.8
2007,Adult Social Care,98.5,139.6,137.5
