CHILD,SEX,DOB,DUC
398768,2,17/12/1999,12/12/2017
830787,1,17/11/2003,12/11/2021
87408,2,09/01/2005,05/01/2023
405981,2,28/06/2009,24/06/2027
511908,2,18/08/2006,13/08/2024
993726,2,18/02/2001,14/02/2019
274248,2,12/06/2005,08/06/2023
318887,1,07/09/2002,02/09/2020
534005,2,14/05/2000,10/05/2018
766270,1,09/02/2002,05/02/2020
549349,1,14/05/2005,10/05/2023
675419,1,06/03/2005,02/03/2023
970280,2,02/07/2007,27/06/2025
622236,2,26/08/2008,22/08/2026
717291,1,10/05/2008,06/05/2026
109036,2,22/09/2004,18/09/2022
582902,1,13/02/2006,09/02/2024
956636,2,04/06/2003,30/05/2021
850642,2,11/11/2006,06/11/2024
569034,1,17/12/1999,12/12/2017
261594,2,17/12/2001,13/12/2019
543132,1,16/06/2004,12/06/2022
21038,1,11/11/2005,07/11/2023
276172,2,04/06/2000,31/05/2018
479546,2,20/06/2004,16/06/2022
54625,1,29/10/2000,25/10/2018
442704,1,22/09/2003,17/09/2021
979155,1,13/07/2008,09/07/2026
309655,1,04/06/2006,30/05/2024
571007,2,22/09/2009,18/09/2027
790932,2,19/05/2007,14/05/2025
