CHILD,SEX,DOB,DUC
830787,1,17/11/2003,12/11/2021
87408,2,09/01/2005,05/01/2023
274248,2,12/06/2005,08/06/2023
318887,1,07/09/2002,02/09/2020
766270,1,09/02/2002,05/02/2020
549349,1,14/05/2005,10/05/2023
970280,2,02/07/2007,27/06/2025
717291,1,10/05/2008,06/05/2026
109036,2,22/09/2004,18/09/2022
582902,1,13/02/2006,09/02/2024
479546,2,20/06/2004,16/06/2022
442704,1,22/09/2003,17/09/2021
979155,1,13/07/2008,09/07/2026
309655,1,04/06/2006,30/05/2024
571007,2,22/09/2009,18/09/2027
790932,2,19/05/2007,14/05/2025
